recipe-3398321506005398,b'Streuselkuchen mit Hefeteig und Pudding',1 Bewertung - Ø 3,star-3,(1),simpel,30 min.,26.09.2017,http://www.chefkoch.de/rezepte/3398321506005398/Streuselkuchen-mit-Hefeteig-und-Pudding.html,yes
recipe-3396471505674554,b'Johannisbeer-Quark-Torte',2 Bewertungen - Ø 3.5,star-3_5,(2),normal,90 min.,25.09.2017,http://www.chefkoch.de/rezepte/3396471505674554/Johannisbeer-Quark-Torte.html,yes
recipe-3396881505799682,b'Wei\xdfwurstsalat',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,30 min.,25.09.2017,http://www.chefkoch.de/rezepte/3396881505799682/Weisswurstsalat.html,no
recipe-3396891505801654,b'Burekas',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,120 min.,25.09.2017,http://www.chefkoch.de/rezepte/3396891505801654/Burekas.html,no
recipe-3399611506241001,b'Hackbraten nach Bielefelder Art',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399611506241001/Hackbraten-nach-Bielefelder-Art.html,yes
recipe-3400801506453856,b'Cracke Cake mit Karamell und Schokolade',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,27.09.2017,http://www.chefkoch.de/rezepte/3400801506453856/Cracke-Cake-mit-Karamell-und-Schokolade.html,yes
recipe-3402601506790362,b'Paprikagem\xfcse zu Schweinelendchen',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,01.10.2017,http://www.chefkoch.de/rezepte/3402601506790362/Paprikagemuese-zu-Schweinelendchen.html,yes
recipe-3397301505840909,b'\xdcberbackene Ofentomaten',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,20 min.,26.09.2017,http://www.chefkoch.de/rezepte/3397301505840909/Ueberbackene-Ofentomaten.html,yes
recipe-3403051506864873,"b""Babi asam manis 'Sanur pantai'""",0 Bewertungen - Ø 2.5,star-unb,(0),normal,30 min.,02.10.2017,http://www.chefkoch.de/rezepte/3403051506864873/Babi-asam-manis-Sanur-pantai.html,yes
recipe-3400461506380175,b'D\xf6rrobst-Kompott f\xfcr Pessach',1 Bewertung - Ø 2.67,star-2_5,(1),simpel,10 min.,29.09.2017,http://www.chefkoch.de/rezepte/3400461506380175/Doerrobst-Kompott-fuer-Pessach.html,yes
recipe-3400441506367452,b'Keks-W\xfcrste',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,30 min.,29.09.2017,http://www.chefkoch.de/rezepte/3400441506367452/Keks-Wuerste.html,no
recipe-3398611506062871,b'Spanische Churros ohne Ei',1 Bewertung - Ø 3.33,star-3_5,(1),simpel,10 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398611506062871/Spanische-Churros-ohne-Ei.html,yes
recipe-3398581506032940,b'Herzhafte Brotsuppe',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,5 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398581506032940/Herzhafte-Brotsuppe.html,no
recipe-3398571506029844,b'Ingwerkohl mit Hackfleisch',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,15 min.,27.09.2017,http://www.chefkoch.de/rezepte/3398571506029844/Ingwerkohl-mit-Hackfleisch.html,no
recipe-3399501506190814,b'Oktoberfest-Torte',0 Bewertungen - Ø 2.5,star-unb,(0),normal,90 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399501506190814/Oktoberfest-Torte.html,yes
recipe-3398301506001501,b'Saftige K\xfcrbis-Brownies',0 Bewertungen - Ø 2.5,star-unb,(0),normal,40 min.,26.09.2017,http://www.chefkoch.de/rezepte/3398301506001501/Saftige-Kuerbis-Brownies.html,yes
recipe-3399601506238349,b'Apfelweinbratwurst',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,45 min.,28.09.2017,http://www.chefkoch.de/rezepte/3399601506238349/Apfelweinbratwurst.html,yes
recipe-3396371505665891,b'Amaranth Riegel',1 Bewertung - Ø 3.33,star-3_5,(1),normal,20 min.,25.09.2017,http://www.chefkoch.de/rezepte/3396371505665891/Amaranth-Riegel.html,yes
recipe-3400791506453510,b'S`mores',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,5 min.,27.09.2017,http://www.chefkoch.de/rezepte/3400791506453510/S-mores.html,yes
recipe-3397261505837775,b'Bohnengem\xfcse',1 Bewertung - Ø 3.33,star-3_5,(1),simpel,10 min.,26.09.2017,http://www.chefkoch.de/rezepte/3397261505837775/Bohnengemuese.html,yes
recipe-3400431506365808,b'Spezialso\xdfe f\xfcr Nudeln',0 Bewertungen - Ø 2.5,star-unb,(0),simpel,10 min.,29.09.2017,http://www.chefkoch.de/rezepte/3400431506365808/Spezialsosse-fuer-Nudeln.html,yes
